179023,M24016,CD0032,"2010-01-04 00:00:00.000","10 894/10 091","Loan Interest Due",666.67000000000000000000,6
179034,M24016,CD0032,"2010-01-04 00:00:00.000","10 894/10 091","Loan Repayment",-3450.00000000000000000000,3
179053,AL0162,CD0032,"2010-01-04 00:00:00.000","10 894/10 091","Savings Deposit",-1000.00000000000000000000,1
179058,M14322,CD0032,"2010-01-04 00:00:00.000","10 894/10 091","Savings Deposit",-100.00000000000000000000,1
179062,M24016,CD0032,"2010-01-04 00:00:00.000","10 894/10 091","Savings Deposit",-100.00000000000000000000,1
179063,M24017,CD0032,"2010-01-04 00:00:00.000","10 894/10 091","Savings Deposit",-200.00000000000000000000,1
179218,M28428,CD0015,"2010-01-13 00:00:00.000","4 1382","Loan Repayment",-1000.00000000000000000000,3
179381,LM12246,CD0015,"2010-01-12 00:00:00.000","4 1376","Loan Interest Due",800.00000000000000000000,6
179383,LM12245,CD0015,"2010-01-12 00:00:00.000","4 1376","Loan Interest Due",570.02000000000000000000,6
179390,LM12433,CD0015,"2010-01-12 00:00:00.000","4 1376","Loan Repayment",-2700.00000000000000000000,3
179396,LM12389,CD0015,"2010-01-12 00:00:00.000","4 1376","Loan Repayment",-3880.00000000000000000000,3
179398,LM12246,CD0015,"2010-01-12 00:00:00.000","4 1376","Loan Repayment",-2000.00000000000000000000,3
179400,LM12245,CD0015,"2010-01-12 00:00:00.000","4 1376","Loan Repayment",-3880.00000000000000000000,3
179569,AL0634,CD0010,"2010-01-05 00:00:00.000","4 1296","Savings Deposit",-500.00000000000000000000,1
179571,AL0626,CD0010,"2010-01-05 00:00:00.000","4 1296","Savings Deposit",-1000.00000000000000000000,1
179572,AL0629,CD0010,"2010-01-05 00:00:00.000","4 1296","Savings Deposit",-500.00000000000000000000,1
179584,LM13557,CD0010,"2010-01-05 00:00:00.000","4 1328","Loan Interest Due",2000.00000000000000000000,6
179602,LM13562,CD0010,"2010-01-05 00:00:00.000","4 1328","Loan Interest Due",600.00000000000000000000,6
179611,LM13557,CD0010,"2010-01-05 00:00:00.000","4 1328","Loan Interest Paid",-2000.00000000000000000000,6
179629,LM13562,CD0010,"2010-01-05 00:00:00.000","4 1328","Loan Repayment",-4350.00000000000000000000,3
179642,LM13562,CD0010,"2010-01-05 00:00:00.000","4 1328","Savings Deposit",-100.00000000000000000000,1
180110,LM11425,CD0032,"2010-01-11 00:00:00.000","10 960","Savings Deposit",-1072.00000000000000000000,1
181114,LM12968,CD0015,"2010-01-19 00:00:00.000","4 1392","Loan Interest Due",800.00000000000000000000,6
181126,LM12968,CD0015,"2010-01-19 00:00:00.000","4 1392","Loan Repayment",-4000.00000000000000000000,3
181137,LM12968,CD0015,"2010-01-19 00:00:00.000","4 1392","Savings Deposit",-100.00000000000000000000,1
181149,LM12785,CD0015,"2010-01-19 00:00:00.000","4 1399","Loan Interest Due",1866.68000000000000000000,6
181159,LM12788,CD0015,"2010-01-19 00:00:00.000","4 1399","Loan Interest Due",400.00000000000000000000,6
